Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36.0,Travel_Rarely,1456,Sales,13,5,Marketing,1,1733,2,Male,96,2,2,Sales Executive,1,Divorced,6134,8658,5.0,Y,Yes,13,3,2,80,2.5,16.0,3.0,3,2.0,2.0,2.0,2.0
44.0,Travel_Rarely,200,Research & Development,29,4,Other,1,1225,4,Male,32,3,2,Research Scientist,4,Single,4541,7744,1.0,Y,No,25,3,2,80,0.0,20.0,3.0,3,20.0,11.0,7.5,14.5
40.0,Travel_Rarely,989,Research & Development,4,1,Medical,1,253,4,Female,46,3,5,Manager,3,Married,19033,6499,1.0,Y,No,14,3,2,80,1.0,21.0,2.0,3,20.0,8.0,7.5,9.0
31.0,Travel_Rarely,1222,R&D,11,4,Life Sciences,1,895,4,Male,48,3,1,Research Scientist,4,Married,"$2,356.00",14871,3.0,Y,Yes,19,3,2,80,1.0,8.0,2.0,3,6.0,4.0,0.0,2.0
29.0,Travel_Rarely,1082,Research & Development,9,4,Medical,1,1709,4,Female,43,3,1,Laboratory Technician,3,Married,"$2,974.00",25412,8.5,Y,No,17,3,3,80,1.0,9.0,2.0,3,5.0,3.0,1.0,2.0
21.0,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,1279,1,Female,45,2,1,Laboratory Technician,3,Single,2625,25308,1.0,Y,No,20,3,3,80,0.0,2.0,2.0,1,2.0,2.0,2.0,2.0
40.0,Non-Travel,218,Research & Development,8,1,Medical,1,1468,4,Male,55,2,3,Research Director,2,Divorced,13757,25178,2.0,Y,No,11,3,3,80,1.0,16.0,4.5,3,9.0,8.0,4.0,8.0
36.0,Travel_Rarely,1169,Research & Development,7,4,Medical,1,211,2,Male,34,2,2,Manufacturing Director,3,Married,"$6,132.00",13983,2.0,Y,No,17,3,3,80,0.0,10.0,2.0,3,1.0,0.0,0.0,0.0
51.0,Travel_Rarely,313,Research & Development,3,3,Medical,1,258,4,Female,98,3,4,Healthcare Representative,2,Single,"$13,734.00",7192,3.0,Y,No,18,3,3,80,0.0,21.0,4.5,3,7.0,7.0,1.0,0.0
38.0,Travel_Rarely,119,Sales,3,3,Life Sciences,1,307,1,Male,76,3,3,Sales Executive,3,Divorced,10609,9647,0.0,Y,No,12,3,3,80,2.0,17.0,4.5,2,16.0,10.0,5.0,13.0
